customer_message,generated_reply,judge_relevance,judge_tone,judge_resolution,human_relevance,human_tone,human_resolution
@AmazonHelp Just that they were very busy. Which isn't a good answer.,@User I’m sorry the “very busy” reply wasn’t helpful. Please check the latest email from us and let us know if the issue persists. Our Account Specialists can investigate further—just chat or call us here: https://t.co/XYZ123 ^WT,4,5,4,5,5,4
@AmazonHelp No problem Amazon.  I dont need any kind of help.  Keep Cheating People,"@123456 Thank you for your feedback. If there’s anything we can do to assist you, please let us know. ^AU",2,4,2,3,5,3
@AmazonHelp already done it.! but every time your agent give me different statement. Please solve this ASAP.,@987654 We’re sorry for the mixed messages you’ve received. We’ll review your case and get this resolved ASAP. Thank you for your patience. ^AU,4,5,3,5,5,5
@AmazonHelp It says shipped with EMS? Is that what you are looking for?,"@123456 Can I ask if EMS is the carrier listed for this order, please? You can check the carrier details through the following link: https://t.co/xxxxxx^AB",4,4,3,4,4,3
@AmazonHelp Not sure what you mean...I haven't contacted anyone until I tweeted you this morning. Is there another route I should've taken?,@123456 I understand the confusion. You can also reach us via the Help Center or your Orders page for faster assistance. Please check the email we just sent and we’ll follow up shortly. ^HD,3,5,3,3,5,3
"@AmazonHelp Haven't yet been about 5 hours since i received the email, here is the link https://t.co/OLtTGEoE2A",@User We understand your concern. Please refer back to the correspondence you received and we’ll look into it promptly. ^SC,2,4,2,3,4,2
"@AmazonHelp I should note this is from Amazon.ca, not .com, if that matters.",Amazon: @462839 Thanks for letting us know it’s Amazon.ca. We’ll take that into account and get you sorted. 😊 ^CA,4,4,2,3,5,3
@AmazonHelp thanks! Have some downloaded but tablet only has 16gb storage was hoping to be able to put on SD card like Netflix titles,"@123456 Hey! Sorry to hear your tablet’s storage is limiting you. Unfortunately, Prime Video downloads can only be saved to the device’s internal storage and can’t be moved to an SD card like Netflix titles. You can free up space by deleting older d",5,5,4,4,5,5
@AmazonHelp I am fine with personal information.I need public to know consumer harassment which your team does not care of!!,@AmazonHelp I understand your concern. We can address this here without needing an account. Please share the details of the harassment you experienced so we can investigate promptly. ^AB,4,5,4,4,4,4
"@AmazonHelp If I give negative ratings as product reviews according to my experience, Amazon mailed me it can't be posted. Why so?","@842019 Thank you for letting us know. Reviews may be blocked if they breach our content guidelines. Please review the policy, adjust any prohibited language, and try reposting. We’ll keep an eye on this and follow up shortly. ^RM",4,4,3,4,4,5
"@115821 @115850 IS THIS A JOKE! When I called customer care, they offered me a refund! I DON'T NEED A REFUND!  I NEED MY PRODUCT DELIVERED TODAY!!!!!!",@613974 Sorry for the hassle! Let’s get your order to you today – please contact our support team here so we can prioritize the delivery: https://t.co/abcdEFG ^ML,5,5,4,5,5,5
"@AmazonHelp No email. Ordered a number of items. My screen shows ordered 30th October, arriving 3rd November  as per photo. There is a birthday present in with this order. Happy to cancel and go to shops for it but need to know when itâs being shippe","@834219 Thanks for the info! Is a new shipping date now displayed, or does it still show delivery by 3 Nov? If you’d like us to check the shipment status, please get in touch via phone or chat here: https://t.co/yourContactLink ^TM",3,4,2,4,5,3
"@AmazonHelp  I ordered a book this summer, it says that it was delivered on November 7th, I'm in Rome, what should I do?",@483291 Sorry to hear you haven’t received your book despite the delivery mark. Please reach out to us by phone or chat so we can investigate further: https://t.co/JzP7hlA23B ^XZ,3,4,2,3,4,3
@119625 @12154 When you are going to release trailer ?,@119625 Hi! Thanks for reaching out. Could you let us know which product or show you’re asking about? Please drop the details here: https://t.co/yourlink so we can check the trailer release info for you. ^KP,3,5,3,4,5,4
"@119625 Still no support for #Chromecast ð
How pointless is this?",Amazon: @119625 Sorry you're experiencing issues with Chromecast support 😢. We're working on expanding compatibility. Could you let us know which device/model you're using so we can pass the details along? ^SV,5,4,3,5,4,4
@115850 @115821 you lost your Prime Customer today !!!,I’m really sorry you feel this way. Could you please share the order number or the specific issue you’re encountering so we can investigate and make it right? We value you as a Prime member and want to resolve this quickly. Let us know— we’re here to help! ^DJ,3,5,2,3,5,4
