customer_message,amazon_reply,predicted_intent
"Dear @115850, had ordered a Macbook Air Cover Case on the 9th of Nov. Saying delivered but haven't received it yet. Unable to get a result from the Customer Care no. Plz revert. Order # 405-7938924-2951520 https://t.co/GGrCeehxYM","@209577 I'm sorry that you haven't received your order yet. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will assist you. 
Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^AH",Delivery Issue
@AmazonHelp Hv done exactly as you said and there is NO facility to disable this nonsense.,@484406 Pls request a call back here so we can help you out Shelia https://t.co/zH8UlhTGcc ^KM,Other/Unclear
"@AmazonHelp I got a mail from ur customer support mentioning that I complaint about package being empty 2 times! 
I never filed such complain https://t.co/SPLP8WkvpG",@210014 and we'll assist you with that. 2/2 ^HS,Account/Security Issue
"@AmazonHelp 
Please provide us #BhojPuri movies on #AmazonPrime
@30049 @92943 @92944  @5277 @92945","@686204 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available, Stay tuned. ^MK",General Product/Service Question
@537235 @119625 Yup the service is down,@695827 The issue with prime services is resolved. Do keep us posted for any further assistance. ^SV,Other/Unclear
@AmazonHelp Still no one has contacted me.....???,@400433 Update soon. Request you to wait for the same. 2/2 ^KH,Other/Unclear
Hey @119625 how do people in U.S watch #ArjunReddy? Please don't say we can't ..,"@378471 I'm sorry, the selection of movies and TV shows may vary based on your location. Due to geographical limitations, ^AK (1/3)",General Product/Service Question
"@AmazonHelp Thanks submitted the feedback, please make sure I get a properly sealed replacement.",@243965 Thank you for keeping us posted. We appreciate your understanding and will make sure your feedback is taken on priority. ^SM,Damaged/Defective Item
@AmazonHelp REDMI 4A 3GB VARIENT WILL BE IN TOMORROW'S SALE????,"@336037 Yeah, the product will be available in the next sale on 26th October, 12 PM. ^AB",General Product/Service Question
The book which Just got delivered at home @115821 @AmazonHelp @115850 #disappointed Throwing away the free bookmark - makes no sense. https://t.co/MCMWw9xTsb,"@494998 My apologies, I will have this feedback forwarded to the concerned team internally. ^KS",Other/Unclear
@AmazonHelp Thanks. Yes I was promised delivery of an item today and this has not happened. I was then further informed item is lost and it was an urgent present. I then experienced very poor customer service via chat,@232300 We always strive for a great experience and I apologize that we haven't kept to that. What options were you given when you spoke with our customer service? ^FD,Delivery Issue
@115830 not looking good as a prime customer next day delivery still no sign so why do i pay for this service ?,"@248244 I am sorry for your disappointment with this order! It is never our intention! Have we missed a delivery date quoted in your confirmation email? You can check here:  https://t.co/aaDyEz1VgE Let us know Karl, we are here to help! ^DJ",Delivery Issue
"@115850 No response to my return order for Omega 369 soft gels. expiry too near.
Order ID: 406-2352573-1531566
Seller: Health-Mall",@515494 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,Refund/Return Request
"@115821 Don't make a guarantee unless you can guarantee results. Order#112-7588643-3918603
#ALToRnativeFacts",@239356 I'm sorry for the delay. We don't have account access through Twitter. Has the tracking updated to reflect this: https://t.co/Y5jpI9ys9c ^RR,Other/Unclear
"@AmazonHelp Did you not get my recent response: Ordered to Kindle books, and cannot get them delivered because your algorithm felt there was fraud since I am currently in Germany...why wasn't I contacted before this stupid assumption was made?","@250062 Have you received any e-mails from our Account Specialists? When you spoke with us, what information or options were we able to provide? ^SB",Account/Security Issue
"@AmazonHelp Will be dumping our Prime membership until you stop using Intelcom - have had 1 successful delivery, many lost pacakges",@501652 I'm sorry to hear this! Are you currently waiting on the delivery of a late package? ^BH,Delivery Issue
@115821 @115833 is there a way to shorten Echo’s answer when you ask her how much time is left on a timer? It takes her so long to answer.,"@757887 We are always looking for ways to improve. To send feedback in the Alexa app, follow these steps: https://t.co/KaqRTF93EX  ^AF",General Product/Service Question
my milk and vine book was supposed to come YESTERDAY @115821 bitch where is it,"@663021 I'm sorry for the delay! Late orders typically arrive within 1-2 business days. If it hasn't arrived by Monday evening, please let us know! ^SB",Delivery Issue
@AmazonHelp I ordered over 1500 in Amazon Pantry - still ur website is charging deliver charge! And I can't see my full list of orders- for pantry the experience is BAD,@226072 I'd like to have a closer look at the issue. Please share your details in this link here: https://t.co/GIJyeYqKE0 and we'll reach out to you with an update. ^KA,Billing/Charge Issue
@115821 how come I could get my Kindle delivered to Puerto Rico last year but all Echo products can't be sent here? They are all electronics. Can you help me out? Planning my Xmas Shopping!,"@535487 I'm sorry for the difficulties ordering! Shipping on some items is restricted. You can check out the reasons here: https://t.co/JWYWeQniAD

-Cole O.",General Product/Service Question
"@115821 Support sucks! Sent TWO orders to wrong carrier facility on Friday which were supposed to arrive on Sunday. All chat support can say is ""Sorry"" and wait until it arrives! No way to track where the two orders even are at this point!

Piss poor customer service!!","@791112 Hello Robert! I'm sorry for any delay in getting your package to you due to this. Since we do not have account level access to view your order details, what's the current status here: https://t.co/Y5jpI9gRhE for this order? What's the delivery estimate shown? ^TM",Delivery Issue
"@AmazonHelp not strange but stupid. you cust care saying payment is done, portal saying failed.","@432468 I get your concern, Ashwath. If you receive any correspondence requesting to retry the payment, we request you to do so. (1/2) ^SV",Billing/Charge Issue
@AmazonHelp If you need anymore info please let me know,"@422132 I understand the frustration! We can't access to your info via Twitter, but we can get you in touch with Account Specialists! (1/2)",Other/Unclear
@AmazonHelp the iPhone app won’t let me buy anything? Buy now brings up an error and when I try to buy via basket it just takes me back to the basket.,"@133008 Let's troubleshoot this together! To start, have you tried to turn your phone off and back on? Did it fix it? If not, have you tried to visit our website through your phone's browser instead of through the app? Do you still encounter the error? ^TK",Other/Unclear
@AmazonHelp It was never connected to this modem/router. I never got to set that up,"@689318 Thank you for letting us know. Just to confirm, have you tried to reset your connection to your network? You can find the steps here: https://t.co/nQcXZfqrpa ^EB",General Product/Service Question
@AmazonHelp yeah it says out for delivery,@140838 Can I ask who is the carrier delivering this order please? You can find this info through the following link: https://t.co/aaDyEz1VgE^GA,Order Status/Tracking Inquiry
"@AmazonHelp And I definitely insist that Amazon should compensate me, as a gesture of goodwill, b/c it's not a delay - it's a complete &amp; repeated failure.","@490013 Hi, we've received your reply and will be in touch shortly. ^PJ",Delivery Issue
@115821 is the only place I know of where I can get a 400lbs of toilet paper delivered within 24 hours if I wanted yet I can’t get a replacement remote for my Amazon fire stick for up to 4 months... https://t.co/Et4RRe2E8E,@351647 I understand your frustration. We'd like to go over all the available options with you. At your nearest convenience please reach out to us here: https://t.co/CYqkdUakWJ ^GM,Refund/Return Request
@AmazonHelp I bay a mobile on 5th October  but I not get it till now.,"@307865 I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SY",Delivery Issue
Our @115821 package just arrived like this from @115817 I asked driver why it’s like that and he said “that’s what happens on the back of #ups trucks .. ((this is a mattress for our newborn)) @AmazonHelp @UPSHelp  do I send it back? https://t.co/yO4o8ez2Wj,"@237014 Hello Kelsey- I'm sorry your order arrived in this manner. You'll be able to find return/replacement options on this link here: https://t.co/t1y9zeXvdJ

-Victoria",Damaged/Defective Item
