customer_message,amazon_reply
"@AmazonHelp Once You Receive..? I did't Send by Postal Mail. Its a Digital Form...Hope You could Get it Instantly!By the Way What is ^SQ, ^NR and ^SV ?",@367525 Sorry for the confusion. Request you to write back to the email you've received from our team and we (1/2)^SQ
@AmazonHelp so I’ve had an issue and no one has responded to me 😐,@479947 We'd love to take a closer look into your order with you here: https://t.co/hApLpMlfHN ^QJ
@AmazonHelp please help me understand why I am unable to download @183790 book off my Amazon App? Was wanting to listen through @1016,@602543 I'm very sorry for any difficulties. What device are you using? Are you currently using the latest update for the app? Have you tried uninstalling and re-installing the app? Let us know more about the issue you're experiencing. We'd be happy to assist. ^SK
"@AmazonHelp Just track order, return or replace, and view item details","@451690 The seller is in the best position to answer your question. To do that, go to the item page and click on their name. ^EM"
"@AmazonHelp - Order No 407-6706063-7981118. God know when will you guys delivery. Terrible Service, no one knows the status.",@383173 Please don’t provide your order details as it is personal information. Our Twitter page is visible to the public. ^MS
@AmazonHelp That takes me to the .com site. I think I need to go to .ca? My password isn’t working there.,@187800 That link will send your info to our Social Media team. Your password on the U.S. and Canadian sites will be the same. ^GR
@AmazonHelp Haven't got any details. It would be good for me if I can actually get a decent update instead of repulsive copy - paste messages,@306432 Kindly wait till you receive an update. Appreciate your patience. ^AK
@AmazonHelp @AmazonHelp please refer to the first tweet in the series. First you don't deliver and then you ask same details multiple times,"@214626 We cannot view your account details via Twitter and help you with a resolution. Hence, as mentioned earlier (1/2) ^KA"
@AmazonHelp Only winners ? and what is the date for next announcement,@191566 Please click here: https://t.co/Sb5MX1m29U to view more details on winner's announcement date. ^HD
Nooo @115821 how could you let me down by not delivering my heels in time for tomorrow 😞,@272879 Oh no! Have we missed a delivery date that you were given at check out? Please check here:  https://t.co/aaDyEz1VgE ^MW
"@115821 @AmazonHelp If the delivery date was not missed I would not have reached out. Delivery was scheduled for Friday by 8pm. Now it's another 3 to 5 days. Not cool.
#disappointed",@239953 Sorry to hear this Kevin. Have you checked the tracking of the order? You can check here: https://t.co/Y5jpI9gRhE.^BZ
@AmazonHelp Order no. 406-6787527-3269912 dated 12-10-17 not yet dispatch??? Whn can I get it? Its more than 10 days now..,"@364452 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW"
@AmazonHelp Yep it set as default in the app. https://t.co/aMlbf7RMww,@207240 Hmm. Let's take a closer look here: https://t.co/JzP7hlA23B ^JZ
@AmazonHelp i had the student membership and yes,@710000 Oh no! Have you received any e-mails from us previously regarding your membership? You can read more about the changes here: https://t.co/Qam6A5tXqU and how to cancel if need be here: https://t.co/TSBGyIXQl0. Please let us know if you have further questions. ^TG
@115850 @115821 What is the point of giving delivery date when you people can't deliver on time and customer service hangs up on customer.,"@724657 That is quite a remark, Sumit. Kindly fill in your details here: https://t.co/W5TSYF7QQV and we will get back to you soon. ^KS"
@115821 I’m interested in amazon flex. How can I get started?,@813354 Hello Malik! Interested in Amazon Flex you say? Let's get some more info on that here: https://t.co/cB88GusrW6 ^JZ
"@115850 My  Order# 404-4244805-4392323 shows as Delivered on 03 Nov 2017, but I have still not received it!! Kindly revert urgently.","@476516 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (3/3) ^SV"
@115821 so i had my fire stick remote next to a lamp in my house... the remote started melting from the heat. where can i get a replacement?,@356362 I'm so sorry to hear this! We'd like to take a look into some available options with you: https://t.co/hApLpMlfHN ^TH
What a way to start a Friday. Beyond annoyed with @115821 customer service.,"@433135 I'm sorry we've let you down, Chris. Without providing sensitive info, can you tell us more detail on what's going on? ^HS"
@AmazonHelp Well as I said it’s multiple but I would have thought if I ordered something from prime today (Friday) at 10am I wouldn’t have to wait till Monday to receive it? Plus I’m in Swansea and the amazon warehouse is about 4 miles from my house 😂,@148250 Thank you for the information. Some items can take longer to process. You can find more information here: https://t.co/G8voAavjiV. ^AL
@115821 @115851 Alright. Your delivery guys are beginning to outright lie. And you want us to give them codes to our homes? @128511 @223118 https://t.co/e0KjbniMH0,"@223117 I'm sorry to hear about this negative experience! Have you received this package yet? Also, which carrier was assigned to deliver this package? You can find this information under tracking details here: https://t.co/q4LAMYLRN4 ^JS"
"Dear Amazon, 

Where is my leaf blower!!!",@509530 We'd like to help! What was the estimated delivery date provided at checkout? ^JO
@AmazonHelp Yes it was today.,@412638 I'm sorry to hear about that. Our team would like to investigate. Please provide more info here: https://t.co/nuAqQ7sA1P ^EB
"@115850 Thanks for taking it as a feedback, didn't expected this could be considered.",@147583 It shall be. Every feedback shared is monitored by our team internally. ^YP
